MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
100109xxxxx,223xxxxx,8511.548,24 Hr Active Import Register (kWh),23/06/2025 00:00
100109xxxxx,223xxxxx,8500.808,24 Hr Active Import Register (kWh),22/06/2025 00:00
100109xxxxx,223xxxxx,8489.309,24 Hr Active Import Register (kWh),21/06/2025 00:00
100109xxxxx,223xxxxx,8474.264,24 Hr Active Import Register (kWh),20/06/2025 00:00
100109xxxxx,223xxxxx,8463.75,24 Hr Active Import Register (kWh),19/06/2025 00:00
100109xxxxx,223xxxxx,8455.024,24 Hr Active Import Register (kWh),18/06/2025 00:00
100109xxxxx,223xxxxx,8443.788,24 Hr Active Import Register (kWh),17/06/2025 00:00
100109xxxxx,223xxxxx,8428.93,24 Hr Active Import Register (kWh),16/06/2025 00:00
100109xxxxx,223xxxxx,8419.949,24 Hr Active Import Register (kWh),15/06/2025 00:00
100109xxxxx,223xxxxx,8410.72,24 Hr Active Import Register (kWh),14/06/2025 00:00
100109xxxxx,223xxxxx,8399.311,24 Hr Active Import Register (kWh),13/06/2025 00:00
100109xxxxx,223xxxxx,8390.26,24 Hr Active Import Register (kWh),12/06/2025 00:00
100109xxxxx,223xxxxx,8380.588,24 Hr Active Import Register (kWh),11/06/2025 00:00
100109xxxxx,223xxxxx,8372.931,24 Hr Active Import Register (kWh),10/06/2025 00:00
100109xxxxx,223xxxxx,8364.128,24 Hr Active Import Register (kWh),09/06/2025 00:00
100109xxxxx,223xxxxx,8355.125,24 Hr Active Import Register (kWh),08/06/2025 00:00
100109xxxxx,223xxxxx,8344.364,24 Hr Active Import Register (kWh),07/06/2025 00:00
100109xxxxx,223xxxxx,8333.802,24 Hr Active Import Register (kWh),06/06/2025 00:00
100109xxxxx,223xxxxx,8322.913,24 Hr Active Import Register (kWh),05/06/2025 00:00
100109xxxxx,223xxxxx,8312.026,24 Hr Active Import Register (kWh),04/06/2025 00:00
100109xxxxx,223xxxxx,8303.245,24 Hr Active Import Register (kWh),03/06/2025 00:00
100109xxxxx,223xxxxx,8292.773,24 Hr Active Import Register (kWh),02/06/2025 00:00
100109xxxxx,223xxxxx,8280.555,24 Hr Active Import Register (kWh),01/06/2025 00:00
100109xxxxx,223xxxxx,8269.312,24 Hr Active Import Register (kWh),31/05/2025 00:00
100109xxxxx,223xxxxx,8260.027,24 Hr Active Import Register (kWh),30/05/2025 00:00
100109xxxxx,223xxxxx,8253.338,24 Hr Active Import Register (kWh),29/05/2025 00:00
100109xxxxx,223xxxxx,8243.817,24 Hr Active Import Register (kWh),28/05/2025 00:00
100109xxxxx,223xxxxx,8233.832,24 Hr Active Import Register (kWh),27/05/2025 00:00
100109xxxxx,223xxxxx,8222.934,24 Hr Active Import Register (kWh),26/05/2025 00:00
100109xxxxx,223xxxxx,8214.029,24 Hr Active Import Register (kWh),25/05/2025 00:00
100109xxxxx,223xxxxx,8205.378,24 Hr Active Import Register (kWh),24/05/2025 00:00
100109xxxxx,223xxxxx,8195.938,24 Hr Active Import Register (kWh),23/05/2025 00:00
100109xxxxx,223xxxxx,8186.456,24 Hr Active Import Register (kWh),22/05/2025 00:00
100109xxxxx,223xxxxx,8175.738,24 Hr Active Import Register (kWh),21/05/2025 00:00
100109xxxxx,223xxxxx,8166.732,24 Hr Active Import Register (kWh),20/05/2025 00:00
100109xxxxx,223xxxxx,8158.664,24 Hr Active Import Register (kWh),19/05/2025 00:00
100109xxxxx,223xxxxx,8150.59,24 Hr Active Import Register (kWh),18/05/2025 00:00
100109xxxxx,223xxxxx,8141.929,24 Hr Active Import Register (kWh),17/05/2025 00:00
100109xxxxx,223xxxxx,8130.193,24 Hr Active Import Register (kWh),16/05/2025 00:00
100109xxxxx,223xxxxx,8118.505,24 Hr Active Import Register (kWh),15/05/2025 00:00
100109xxxxx,223xxxxx,8107.172,24 Hr Active Import Register (kWh),14/05/2025 00:00
100109xxxxx,223xxxxx,8096.849,24 Hr Active Import Register (kWh),13/05/2025 00:00
